type,input,output,PRCC
max,lQ,GCD,-0.6024933525009335
max,lQ,N_offspring,0.31657410500174105
max,lQ,R0,0.006991888581918886
max,lL,GCD,0.12825507454655075
max,lL,N_offspring,0.3475912814119128
max,lL,R0,-3.815324438153244e-5
max,lP,GCD,0.15824296850242967
max,lP,N_offspring,0.23540782610607824
max,lP,R0,-6.532054865320549e-5
max,lG,GCD,0.16242143525221434
max,lG,N_offspring,0.171604600572046
max,lG,R0,0.004343844367438444
max,sigma,GCD,-0.4893419547694195
max,sigma,N_offspring,0.14461099618210996
max,sigma,R0,-0.016904704261047045
max,pQ,GCD,-0.3955858903278589
max,pQ,N_offspring,0.13074252290342522
max,pQ,R0,0.01164013799640138
max,pL,GCD,-0.1451759696877597
max,pL,N_offspring,0.23723138480031383
max,pL,R0,-2.980240469802404e-4
max,pP,GCD,-0.1546273920102739
max,pP,N_offspring,0.3382438802384388
max,pP,R0,-0.4382474701944747
max,pG,GCD,-0.14477236410772365
max,pG,N_offspring,0.3867271205192712
max,pG,R0,-0.881061801554618
max,dummy,GCD,0.012232904462329044
max,dummy,N_offspring,0.0017678948456789484
max,dummy,R0,-0.0014069516060695162
